[13:34:55.469] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 6, meta.microsecs = 58, time_diff = 6202, curr_tstamp = 48624963, prev_tstamp = 48618761, diff_repr = 96, milli_hex = 6, micro_hex = 0
[13:34:55.470] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 647, time_diff = 1671, curr_tstamp = 48626634, prev_tstamp = 48624963, diff_repr = 26, milli_hex = 1, micro_hex = 10
[13:34:55.470] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 3, meta.microsecs = 611, time_diff = 3683, curr_tstamp = 48626729, prev_tstamp = 48623046, diff_repr = 57, milli_hex = 3, micro_hex = 9
[13:34:55.471] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 715, time_diff = 715, curr_tstamp = 48627444, prev_tstamp = 48626729, diff_repr = 11, milli_hex = 0, micro_hex = 11
[13:34:55.472] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 539, time_diff = 1563, curr_tstamp = 48628197, prev_tstamp = 48626634, diff_repr = 24, milli_hex = 1, micro_hex = 8
[13:34:55.473] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 2, meta.microsecs = 189, time_diff = 2237, curr_tstamp = 48629681, prev_tstamp = 48627444, diff_repr = 34, milli_hex = 2, micro_hex = 2
[13:34:55.475] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 3, meta.microsecs = 496, time_diff = 3568, curr_tstamp = 48631765, prev_tstamp = 48628197, diff_repr = 55, milli_hex = 3, micro_hex = 7
[13:34:55.476] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 2, meta.microsecs = 829, time_diff = 2877, curr_tstamp = 48632558, prev_tstamp = 48629681, diff_repr = 44, milli_hex = 2, micro_hex = 12
[13:34:55.477] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 105, time_diff = 1129, curr_tstamp = 48632894, prev_tstamp = 48631765, diff_repr = 17, milli_hex = 1, micro_hex = 1
[13:34:55.478] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 740, time_diff = 740, curr_tstamp = 48633634, prev_tstamp = 48632894, diff_repr = 11, milli_hex = 0, micro_hex = 11
