timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2
20210406-121754,7540,66.7,0.9,7572,53.3,0.9,
20210406-121800,7540,53.3,0.9,7572,53.3,0.9,
20210406-121805,7540,0.0,0.9,7572,0.0,0.9,
20210406-121810,7540,0.0,0.9,7572,0.0,0.9,
20210406-121816,7540,0.0,0.9,7572,0.0,0.9,
20210406-121821,7540,0.0,0.9,7572,0.0,0.9,
20210406-121826,7540,0.0,0.9,7572,0.0,0.9,
20210406-121832,7540,40.0,0.9,7572,33.3,0.9,
20210406-121837,7540,46.7,0.9,7572,53.3,0.9,
20210406-121842,7540,46.7,0.9,7572,53.3,0.9,
20210406-121848,7540,60.0,0.9,7572,46.7,0.9,
20210406-121853,7540,60.0,0.9,7572,60.0,0.9,
20210406-121859,7540,68.8,0.9,7572,60.0,0.9,
20210406-121904,7540,0.0,0.9,7572,0.0,0.9,
20210406-121909,7540,0.0,0.9,7572,0.0,0.9,
20210406-121915,7540,0.0,0.9,7572,0.0,0.9,
20210406-121920,7540,0.0,0.9,7572,0.0,0.9,
20210406-121925,7540,0.0,0.9,7572,0.0,0.9,
20210406-121931,7540,0.0,0.9,7572,0.0,0.9,
20210406-121936,7540,60.0,0.9,7572,60.0,0.9,
20210406-121941,7540,60.0,0.9,7572,60.0,0.9,
20210406-121947,7540,50.0,0.9,7572,53.3,0.9,
20210406-121952,7540,60.0,0.9,7572,60.0,0.9,
20210406-121957,7540,73.3,0.9,7572,66.7,0.9,
20210406-122003,7540,60.0,0.9,7572,60.0,0.9,
20210406-122008,7540,0.0,0.9,7572,0.0,0.9,
20210406-122013,7540,0.0,0.9,7572,0.0,0.9,
20210406-122019,7540,0.0,0.9,7572,0.0,0.9,
20210406-122024,7540,0.0,0.9,7572,0.0,0.9,
20210406-122029,7540,0.0,0.9,7572,0.0,0.9,
20210406-122035,7540,0.0,0.9,7572,0.0,0.9,
